CoID,Date,CostCtr,  Ces  ,  Stops  ,   GP Dollars
FDC,3/8/2019,5120,26879.07203,366,"169,624.95"
FDC,3/8/2019,5130,15226.81162,222,"109,947.78"
FDC,3/8/2019,5150,6114.005459,252,"40,723.37"
FDC,3/11/2019,5110,19113.56748,123,"118,325.79"
FDC,3/11/2019,5120,23293.16867,317,"146,995.50"
FDC,3/11/2019,5130,13195.42174,193,"95,279.79"
FDC,3/11/2019,5150,5298.343643,218,"35,290.52"
FDC,3/12/2019,5110,22204.73613,143,"137,462.19"
FDC,3/12/2019,5120,27060.28922,369,"170,768.56"
FDC,3/12/2019,5130,15329.46993,224,"110,689.04"
FDC,3/12/2019,5150,6155.22574,254,"40,997.93"
FDC,3/13/2019,5110,19246.1184,124,"119,146.37"
FDC,3/13/2019,5120,23454.70476,320,"148,014.90"
FDC,3/13/2019,5130,13286.93084,194,"95,940.54"
FDC,3/13/2019,5150,5335.087194,220,"35,535.26"
FDC,3/14/2019,5110,23293.52986,150,"144,202.56"
FDC,3/14/2019,5120,28387.1716,387,"179,142.07"
FDC,3/14/2019,5130,16081.13978,235,"116,116.60"
FDC,3/14/2019,5150,6457.042935,266,"43,008.23"
FDC,3/15/2019,5110,24132.67388,155,"149,397.42"
FDC,3/15/2019,5120,29409.81288,401,"185,595.62"
FDC,3/15/2019,5130,16660.45912,243,"120,299.68"
FDC,3/15/2019,5150,6689.656411,276,"44,557.59"
FDC,3/18/2019,5110,18997.95387,122,"117,610.06"
FDC,3/18/2019,5120,23152.27361,315,"146,106.36"
FDC,3/18/2019,5130,13115.60565,191,"94,703.46"
FDC,3/18/2019,5150,5266.295172,217,"35,077.05"
FDC,3/19/2019,5110,20155.45124,130,"124,775.75"
FDC,3/19/2019,5120,24562.88319,335,"155,008.25"
FDC,3/19/2019,5130,13914.70639,203,"100,473.50"
FDC,3/19/2019,5150,5587.15724,230,"37,214.21"
FDC,3/20/2019,5110,18811.08594,121,"116,453.23"
FDC,3/20/2019,5120,22924.5429,312,"144,669.23"
FDC,3/20/2019,5130,12986.59775,190,"93,771.94"
FDC,3/20/2019,5150,5214.494767,215,"34,732.03"
FDC,3/21/2019,5110,21174.87824,136,"131,086.68"
FDC,3/21/2019,5120,25805.23028,352,"162,848.29"
FDC,3/21/2019,5130,14618.48757,213,"105,555.27"
FDC,3/21/2019,5150,5869.745751,242,"39,096.44"
FDC,3/22/2019,5110,22088.81894,142,"136,744.59"
FDC,3/22/2019,5120,26919.02419,367,"169,877.08"
FDC,3/22/2019,5130,15249.44425,223,"110,111.20"
FDC,3/22/2019,5150,6123.093113,252,"40,783.90"
FDC,3/25/2019,5110,18442.41841,119,"114,170.93"
FDC,3/25/2019,5120,22475.25812,306,"141,833.94"
FDC,3/25/2019,5130,12732.08098,186,"91,934.16"
FDC,3/25/2019,5150,5112.298918,211,"34,051.34"
FDC,3/26/2019,5110,20870.2381,134,"129,200.76"
FDC,3/26/2019,5120,25433.97389,347,"160,505.42"
FDC,3/26/2019,5130,14408.17335,210,"104,036.67"
FDC,3/26/2019,5150,5785.298504,238,"38,533.96"
FDC,3/27/2019,5110,19049.84988,123,"117,931.33"
FDC,3/27/2019,5120,23215.51781,316,"146,505.47"
FDC,3/27/2019,5130,13151.43306,192,"94,962.16"
FDC,3/27/2019,5150,5280.680914,217,"35,172.87"
FDC,3/28/2019,5110,21710.19473,140,"134,400.65"
FDC,3/28/2019,5120,26457.60548,360,"166,965.22"
FDC,3/28/2019,5130,14988.05369,219,"108,223.79"
FDC,3/28/2019,5150,6018.137239,248,"40,084.83"
FDC,3/29/2019,5110,22199.46605,143,"137,429.57"
FDC,3/29/2019,5120,27053.86672,369,"170,728.03"
FDC,3/29/2019,5130,15325.83163,224,"110,662.77"
FDC,3/29/2019,5150,6153.764856,253,"40,988.20"
FDC,4/1/2019,5110,17781.89289,114,"110,081.83"
FDC,4/1/2019,5120,21670.29419,295,"136,754.08"
FDC,4/1/2019,5130,12276.07438,179,"88,641.48"
FDC,4/1/2019,5150,4929.199074,203,"32,831.77"
FDC,4/2/2019,5110,18787.11823,121,"116,304.85"
FDC,4/2/2019,5120,22895.33412,312,"144,484.90"
FDC,4/2/2019,5130,12970.05117,189,"93,652.46"
