CoID,Date,CostCtr,SBT,RET,UNS,SPE
FDC,3/21/2019,5110,20%,1%,3%,1%
FDC,3/21/2019,5120,20%,1%,3%,1%
FDC,3/21/2019,5130,20%,1%,3%,1%
FDC,3/21/2019,5150,20%,1%,3%,1%
FDC,3/22/2019,5110,20%,1%,3%,1%
FDC,3/22/2019,5120,20%,1%,3%,1%
FDC,3/22/2019,5130,20%,1%,3%,1%
FDC,3/22/2019,5150,20%,1%,3%,1%
FDC,3/25/2019,5110,20%,1%,3%,1%
FDC,3/25/2019,5120,20%,1%,3%,1%
FDC,3/25/2019,5130,20%,1%,3%,1%
FDC,3/25/2019,5150,20%,1%,3%,1%
FDC,3/26/2019,5110,20%,1%,3%,1%
FDC,3/26/2019,5120,20%,1%,3%,1%
FDC,3/26/2019,5130,20%,1%,3%,1%
FDC,3/26/2019,5150,20%,1%,3%,1%
FDC,3/27/2019,5110,20%,1%,3%,1%
FDC,3/27/2019,5120,20%,1%,3%,1%
FDC,3/27/2019,5130,20%,1%,3%,1%
FDC,3/27/2019,5150,20%,1%,3%,1%
FDC,3/28/2019,5110,20%,1%,3%,1%
FDC,3/28/2019,5120,20%,1%,3%,1%
FDC,3/28/2019,5130,20%,1%,3%,1%
FDC,3/28/2019,5150,20%,1%,3%,1%
FDC,3/29/2019,5110,20%,1%,3%,1%
FDC,3/29/2019,5120,20%,1%,3%,1%
FDC,3/29/2019,5130,20%,1%,3%,1%
FDC,3/29/2019,5150,20%,1%,3%,1%
FDC,4/1/2019,5110,20%,1%,3%,1%
FDC,4/1/2019,5120,20%,1%,3%,1%
FDC,4/1/2019,5130,20%,1%,3%,1%
FDC,4/1/2019,5150,20%,1%,3%,1%
FDC,4/2/2019,5110,20%,1%,3%,1%
FDC,4/2/2019,5120,20%,1%,3%,1%
FDC,4/2/2019,5130,20%,1%,3%,1%
FDC,4/2/2019,5150,20%,1%,3%,1%
FDC,4/3/2019,5110,20%,1%,3%,1%
FDC,4/3/2019,5120,20%,1%,3%,1%
FDC,4/3/2019,5130,20%,1%,3%,1%
FDC,4/3/2019,5150,20%,1%,3%,1%
FDC,4/4/2019,5110,20%,1%,3%,1%
FDC,4/4/2019,5120,20%,1%,3%,1%
FDC,4/4/2019,5130,20%,1%,3%,1%
FDC,4/4/2019,5150,20%,1%,3%,1%
FDC,4/5/2019,5110,20%,1%,3%,1%
FDC,4/5/2019,5120,20%,1%,3%,1%
FDC,4/5/2019,5130,20%,1%,3%,1%
FDC,4/5/2019,5150,20%,1%,3%,1%
FDC,4/8/2019,5110,20%,1%,3%,1%
FDC,4/8/2019,5120,20%,1%,3%,1%
FDC,4/8/2019,5130,20%,1%,3%,1%
FDC,4/8/2019,5150,20%,1%,3%,1%
FDC,4/9/2019,5110,20%,1%,3%,1%
FDC,4/9/2019,5120,20%,1%,3%,1%
FDC,4/9/2019,5130,20%,1%,3%,1%
FDC,4/9/2019,5150,20%,1%,3%,1%
FDC,4/10/2019,5110,20%,1%,3%,1%
FDC,4/10/2019,5120,20%,1%,3%,1%
FDC,4/10/2019,5130,20%,1%,3%,1%
FDC,4/10/2019,5150,20%,1%,3%,1%
FDC,4/11/2019,5110,20%,1%,3%,1%
FDC,4/11/2019,5120,20%,1%,3%,1%
FDC,4/11/2019,5130,20%,1%,3%,1%
FDC,4/11/2019,5150,20%,1%,3%,1%
FDC,4/12/2019,5110,20%,1%,3%,1%
FDC,4/12/2019,5120,20%,1%,3%,1%
FDC,4/12/2019,5130,20%,1%,3%,1%
FDC,4/12/2019,5150,20%,1%,3%,1%
FDC,4/15/2019,5110,20%,1%,3%,1%
FDC,4/15/2019,5120,20%,1%,3%,1%
FDC,4/15/2019,5130,20%,1%,3%,1%
FDC,4/15/2019,5150,20%,1%,3%,1%
FDC,4/16/2019,5110,20%,1%,3%,1%
FDC,4/16/2019,5120,20%,1%,3%,1%
FDC,4/16/2019,5130,20%,1%,3%,1%
FDC,4/16/2019,5150,20%,1%,3%,1%
FDC,4/17/2019,5110,20%,1%,3%,1%
FDC,4/17/2019,5120,20%,1%,3%,1%
FDC,4/17/2019,5130,20%,1%,3%,1%
FDC,4/17/2019,5150,20%,1%,3%,1%
FDC,4/18/2019,5110,20%,1%,3%,1%
FDC,4/18/2019,5120,20%,1%,3%,1%
FDC,4/18/2019,5130,20%,1%,3%,1%
FDC,4/18/2019,5150,20%,1%,3%,1%
FDC,4/19/2019,5110,20%,1%,3%,1%
FDC,4/19/2019,5120,20%,1%,3%,1%
FDC,4/19/2019,5130,20%,1%,3%,1%
FDC,4/19/2019,5150,20%,1%,3%,1%
FDC,4/22/2019,5110,20%,1%,3%,1%
FDC,4/22/2019,5120,20%,1%,3%,1%
FDC,4/22/2019,5130,20%,1%,3%,1%
FDC,4/22/2019,5150,20%,1%,3%,1%
