CoID,Date,CostCtr,   Ces   ,  Stops  ,  GP Dollars  
HJL,2/18/2019,5130,"1,843",74,"12,497"
HJL,2/18/2019,5200,"3,994",59,"23,243"
HJL,2/18/2019,5150,808,74,"5,085"
HJL,2/19/2019,5110,"5,176",32,"30,454"
HJL,2/19/2019,5120,"7,166",105,"36,190"
HJL,2/19/2019,5130,"2,389",81,"16,196"
HJL,2/19/2019,5200,"5,176",66,"30,122"
HJL,2/19/2019,5150,"1,048",80,"6,590"
HJL,2/20/2019,5110,"4,351",32,"25,600"
HJL,2/20/2019,5120,"6,024",105,"30,422"
HJL,2/20/2019,5130,"2,008",81,"13,615"
HJL,2/20/2019,5200,"4,351",66,"25,321"
HJL,2/20/2019,5150,881,81,"5,540"
HJL,2/21/2019,5110,"5,053",32,"29,733"
HJL,2/21/2019,5120,"6,997",102,"35,334"
HJL,2/21/2019,5130,"2,332",79,"15,813"
HJL,2/21/2019,5200,"5,053",65,"29,410"
HJL,2/21/2019,5150,"1,023",79,"6,434"
HJL,2/22/2019,5110,"4,691",32,"27,602"
HJL,2/22/2019,5120,"6,495",103,"32,801"
HJL,2/22/2019,5130,"2,165",80,"14,679"
HJL,2/22/2019,5200,"4,691",65,"27,302"
HJL,2/22/2019,5150,950,80,"5,973"
HJL,2/25/2019,5110,"4,277",30,"25,165"
HJL,2/25/2019,5120,"5,922",94,"29,905"
HJL,2/25/2019,5130,"1,974",74,"13,383"
HJL,2/25/2019,5200,"4,277",59,"24,891"
HJL,2/25/2019,5150,866,74,"5,446"
HJL,2/26/2019,5110,"5,270",32,"31,012"
HJL,2/26/2019,5120,"7,298",105,"36,853"
HJL,2/26/2019,5130,"2,433",81,"16,493"
HJL,2/26/2019,5200,"5,270",66,"30,674"
HJL,2/26/2019,5150,"1,067",80,"6,711"
HJL,2/27/2019,5110,"4,475",32,"26,330"
HJL,2/27/2019,5120,"6,196",105,"31,289"
HJL,2/27/2019,5130,"2,065",81,"14,003"
HJL,2/27/2019,5200,"4,475",66,"26,044"
HJL,2/27/2019,5150,906,81,"5,698"
HJL,2/28/2019,5110,"5,401",32,"31,779"
HJL,2/28/2019,5120,"7,478",102,"37,765"
HJL,2/28/2019,5130,"2,493",79,"16,901"
HJL,2/28/2019,5200,"5,401",65,"31,433"
HJL,2/28/2019,5150,"1,093",79,"6,877"
HJL,3/1/2019,5110,"4,330",32,"25,475"
HJL,3/1/2019,5120,"5,995",103,"30,274"
HJL,3/1/2019,5130,"1,998",80,"13,548"
HJL,3/1/2019,5200,"4,330",65,"25,198"
HJL,3/1/2019,5150,876,80,"5,513"
HJL,3/4/2019,5110,"3,881",30,"22,834"
HJL,3/4/2019,5120,"5,373",94,"27,135"
HJL,3/4/2019,5130,"1,791",74,"12,144"
HJL,3/4/2019,5200,"3,881",59,"22,586"
HJL,3/4/2019,5150,786,74,"4,941"
HJL,3/5/2019,5110,"5,004",32,"29,446"
HJL,3/5/2019,5120,"6,929",105,"34,992"
HJL,3/5/2019,5130,"2,310",81,"15,660"
HJL,3/5/2019,5200,"5,004",66,"29,126"
HJL,3/5/2019,5150,"1,013",80,"6,372"
HJL,3/6/2019,5110,"4,289",32,"25,238"
HJL,3/6/2019,5120,"5,939",105,"29,992"
HJL,3/6/2019,5130,"1,980",81,"13,422"
HJL,3/6/2019,5200,"4,289",66,"24,963"
HJL,3/6/2019,5150,868,81,"5,461"
HJL,3/7/2019,5110,"5,831",32,"34,308"
HJL,3/7/2019,5120,"8,073",102,"40,770"
HJL,3/7/2019,5130,"2,691",79,"18,246"
HJL,3/7/2019,5200,"5,831",65,"33,935"
HJL,3/7/2019,5150,"1,180",79,"7,424"
HJL,3/8/2019,5110,"5,644",32,"33,209"
HJL,3/8/2019,5120,"7,815",103,"39,465"
HJL,3/8/2019,5130,"2,605",80,"17,661"
HJL,3/8/2019,5200,"5,644",65,"32,848"
HJL,3/8/2019,5150,"1,143",80,"7,186"
HJL,3/11/2019,5110,"4,247",30,"24,987"
HJL,3/11/2019,5120,"5,880",94,"29,693"
HJL,3/11/2019,5130,"1,960",74,"13,289"
HJL,3/11/2019,5200,"4,247",59,"24,715"
HJL,3/11/2019,5150,860,74,"5,407"
HJL,3/12/2019,5110,"4,881",32,"28,717"
HJL,3/12/2019,5120,"6,758",105,"34,126"
HJL,3/12/2019,5130,"2,253",81,"15,272"
HJL,3/12/2019,5200,"4,881",66,"28,405"
HJL,3/12/2019,5150,988,80,"6,214"
HJL,3/13/2019,5110,"4,713",32,"27,731"
HJL,3/13/2019,5120,"6,526",105,"32,955"
HJL,3/13/2019,5130,"2,175",81,"14,748"
HJL,3/13/2019,5200,"4,713",66,"27,430"
HJL,3/13/2019,5150,954,81,"6,001"
HJL,3/14/2019,5110,"5,967",32,"35,110"
HJL,3/14/2019,5120,"8,262",102,"41,723"
HJL,3/14/2019,5130,"2,754",79,"18,672"
HJL,3/14/2019,5200,"5,967",65,"34,728"
HJL,3/14/2019,5150,"1,208",79,"7,598"
HJL,3/15/2019,5110,"5,612",32,"33,021"
HJL,3/15/2019,5120,"7,770",103,"39,241"
HJL,3/15/2019,5130,"2,590",80,"17,561"
HJL,3/15/2019,5200,"5,612",65,"32,662"
HJL,3/15/2019,5150,"1,136",80,"7,146"
HJL,3/18/2019,5110,"4,348",30,"25,584"
HJL,3/18/2019,5120,"6,020",94,"30,403"
HJL,3/18/2019,5130,"2,007",74,"13,606"
HJL,3/18/2019,5200,"4,348",59,"25,306"
HJL,3/18/2019,5150,880,74,"5,536"
HJL,3/19/2019,5110,"4,721",32,"27,777"
HJL,3/19/2019,5120,"6,536",105,"33,009"
HJL,3/19/2019,5130,"2,179",81,"14,772"
HJL,3/19/2019,5200,"4,721",66,"27,475"
HJL,3/19/2019,5150,956,80,"6,011"
HJL,3/20/2019,5110,"4,576",32,"26,923"
HJL,3/20/2019,5120,"6,336",105,"31,994"
HJL,3/20/2019,5130,"2,112",81,"14,318"
HJL,3/20/2019,5200,"4,576",66,"26,630"
HJL,3/20/2019,5150,926,81,"5,826"
HJL,3/21/2019,5110,"5,783",32,"34,028"
HJL,3/21/2019,5120,"8,007",102,"40,438"
HJL,3/21/2019,5130,"2,669",79,"18,097"
HJL,3/21/2019,5200,"5,783",65,"33,658"
HJL,3/21/2019,5150,"1,171",79,"7,364"
HJL,3/22/2019,5110,"4,710",32,"27,712"
HJL,3/22/2019,5120,"6,521",103,"32,932"
HJL,3/22/2019,5130,"2,174",80,"14,738"
HJL,3/22/2019,5200,"4,710",65,"27,411"
HJL,3/22/2019,5150,953,80,"5,997"
HJL,3/25/2019,5110,"4,370",30,"25,714"
HJL,3/25/2019,5120,"6,051",94,"30,557"
HJL,3/25/2019,5130,"2,017",74,"13,675"
HJL,3/25/2019,5200,"4,370",59,"25,434"
HJL,3/25/2019,5150,885,74,"5,564"
HJL,3/26/2019,5110,"4,989",32,"29,354"
HJL,3/26/2019,5120,"6,908",105,"34,883"
HJL,3/26/2019,5130,"2,303",81,"15,611"
HJL,3/26/2019,5200,"4,989",66,"29,035"
HJL,3/26/2019,5150,"1,010",80,"6,352"
HJL,3/27/2019,5110,"4,983",32,"29,321"
HJL,3/27/2019,5120,"6,900",105,"34,843"
HJL,3/27/2019,5130,"2,300",81,"15,593"
HJL,3/27/2019,5200,"4,983",66,"29,002"
HJL,3/27/2019,5150,"1,009",81,"6,345"
HJL,3/28/2019,5110,"6,059",32,"35,652"
HJL,3/28/2019,5120,"8,390",102,"42,367"
HJL,3/28/2019,5130,"2,797",79,"18,960"
HJL,3/28/2019,5200,"6,059",65,"35,264"
HJL,3/28/2019,5150,"1,227",79,"7,715"
